customer_id,name,age,email,salary,department,join_date,is_active,performance_score
CUST-00000038,Customer_38,66,customer38@example.com,83322,Marketing,2020-02-07,True,5.808947261775071
CUST-00000039,Customer_39,44,customer39@example.com,40482,HR,2020-02-08,True,5.4690507161476996
CUST-00000040,Customer_40,76,customer40@example.com,67979,Sales,2020-02-09,True,4.5065627759728315
CUST-00000041,Customer_41,59,customer41@example.com,73504,Sales,2020-02-10,True,3.6787165705837976
CUST-00000042,Customer_42,45,customer42@example.com,99029,Engineering,2020-02-11,False,1.8998639844567704
CUST-00000043,Customer_43,77,customer43@example.com,119857,Marketing,2020-02-12,True,1.4813676707263201
CUST-00000044,Customer_44,33,customer44@example.com,89517,Marketing,2020-02-13,True,9.626873471948786
CUST-00000045,Customer_45,32,customer45@example.com,82441,Engineering,2020-02-14,True,8.624288296860307
CUST-00000046,Customer_46,79,customer46@example.com,49297,Engineering,2020-02-15,True,4.194146714164486
CUST-00000047,Customer_47,79,customer47@example.com,39535,Sales,2020-02-16,True,9.611207966138107
CUST-00000048,Customer_48,64,customer48@example.com,79758,Sales,2020-02-17,True,7.09092913981873
CUST-00000049,Customer_49,79,customer49@example.com,78393,Marketing,2020-02-18,True,5.342688546783783
CUST-00000050,Customer_50,68,customer50@example.com,90202,Engineering,2020-02-19,True,5.437230919946245
CUST-00000051,Customer_51,61,customer51@example.com,92624,Engineering,2020-02-20,True,1.7495597007573367
CUST-00000052,Customer_52,72,customer52@example.com,84023,Sales,2020-02-21,True,1.8253373253263296
CUST-00000053,Customer_53,69,customer53@example.com,38325,Engineering,2020-02-22,True,6.421968333110071
CUST-00000054,Customer_54,74,customer54@example.com,97315,Engineering,2020-02-23,False,5.983327471112207
CUST-00000055,Customer_55,20,customer55@example.com,72368,HR,2020-02-24,True,2.9145510552180607
CUST-00000056,Customer_56,54,customer56@example.com,51116,HR,2020-02-25,True,9.515750885935212
CUST-00000057,Customer_57,68,customer57@example.com,64630,Engineering,2020-02-26,True,8.031664454240822
CUST-00000058,Customer_58,24,customer58@example.com,40031,Sales,2020-02-27,True,2.021181418157032
CUST-00000059,Customer_59,38,customer59@example.com,66397,Sales,2020-02-28,False,9.378361951185633
CUST-00000060,Customer_60,26,customer60@example.com,93769,Sales,2020-02-29,True,9.768233876809692
CUST-00000061,Customer_61,56,customer61@example.com,66809,Engineering,2020-03-01,True,9.963381178272963
CUST-00000062,Customer_62,35,customer62@example.com,53460,Sales,2020-03-02,True,1.5028403920961504
CUST-00000063,Customer_63,21,customer63@example.com,68545,Marketing,2020-03-03,True,7.633320011119079
CUST-00000064,Customer_64,42,customer64@example.com,86523,Sales,2020-03-04,True,5.9132419314849
CUST-00000065,Customer_65,77,customer65@example.com,41265,Marketing,2020-03-05,True,7.352483354908251
CUST-00000066,Customer_66,31,customer66@example.com,49523,Sales,2020-03-06,True,9.717867495767214
CUST-00000067,Customer_67,67,customer67@example.com,78175,Engineering,2020-03-07,True,7.1922700915753515
CUST-00000068,Customer_68,75,customer68@example.com,43763,Sales,2020-03-08,True,8.532674868136365
CUST-00000069,Customer_69,26,customer69@example.com,123627,Sales,2020-03-09,True,8.801818347797571
CUST-00000070,Customer_70,43,customer70@example.com,71166,Marketing,2020-03-10,True,8.546326873875866
CUST-00000071,Customer_71,70,customer71@example.com,52325,Engineering,2020-03-11,True,4.83482327542247
CUST-00000072,Customer_72,19,customer72@example.com,54566,Sales,2020-03-12,True,3.0031877581392745
CUST-00000073,Customer_73,37,customer73@example.com,62921,Sales,2020-03-13,False,4.569864417588267
CUST-00000074,Customer_74,45,customer74@example.com,60754,HR,2020-03-14,True,9.02707217899099
CUST-00000075,Customer_75,64,customer75@example.com,22710,Engineering,2020-03-15,True,2.3194433952282294
CUST-00000076,Customer_76,77,customer76@example.com,106593,Marketing,2020-03-16,True,5.619935518231536
CUST-00000077,Customer_77,24,customer77@example.com,74612,Sales,2020-03-17,False,3.09905265182075
CUST-00000078,Customer_78,61,customer78@example.com,74315,Engineering,2020-03-18,True,6.231748755041041
CUST-00000079,Customer_79,78,customer79@example.com,95446,Marketing,2020-03-19,True,8.768246697901034
CUST-00000080,Customer_80,25,customer80@example.com,48634,HR,2020-03-20,True,8.923239717745751
CUST-00000081,Customer_81,64,customer81@example.com,56041,Marketing,2020-03-21,True,3.130166743138709
CUST-00000082,Customer_82,52,customer82@example.com,86435,Engineering,2020-03-22,False,9.169243357136917
CUST-00000083,Customer_83,31,customer83@example.com,73390,Sales,2020-03-23,False,6.326998649391559
CUST-00000084,Customer_84,34,customer84@example.com,83622,Sales,2020-03-24,True,4.151964220302822
CUST-00000085,Customer_85,53,customer85@example.com,72997,Marketing,2020-03-25,True,7.3736307602487985
CUST-00000086,Customer_86,67,customer86@example.com,68965,Engineering,2020-03-26,False,5.335002891677038
CUST-00000087,Customer_87,57,customer87@example.com,110837,Engineering,2020-03-27,True,4.40188831110029
CUST-00000088,Customer_88,21,customer88@example.com,101644,Engineering,2020-03-28,True,7.345759278669939
CUST-00000089,Customer_89,19,customer89@example.com,12531,Engineering,2020-03-29,True,3.2385173898725914
CUST-00000090,Customer_90,79,customer90@example.com,112008,Sales,2020-03-30,True,3.9722727611718867
CUST-00000091,Customer_91,23,customer91@example.com,128968,Engineering,2020-03-31,False,4.910066600394442
CUST-00000092,Customer_92,71,customer92@example.com,105794,Engineering,2020-04-01,False,3.2831395648582484
CUST-00000093,Customer_93,59,customer93@example.com,69641,Marketing,2020-04-02,False,4.646818781032755
CUST-00000094,Customer_94,21,customer94@example.com,57770,Marketing,2020-04-03,True,6.143257226845096
CUST-00000095,Customer_95,71,customer95@example.com,93195,Engineering,2020-04-04,False,7.668764748196015
CUST-00000096,Customer_96,46,customer96@example.com,59523,Engineering,2020-04-05,True,7.904753677977146
CUST-00000097,Customer_97,35,customer97@example.com,83903,Sales,2020-04-06,True,8.405113166890239
CUST-00000098,Customer_98,43,customer98@example.com,74452,Engineering,2020-04-07,True,7.6979049124896815
CUST-00000099,Customer_99,61,customer99@example.com,105451,Engineering,2020-04-08,False,7.129354843872181
CUST-00000100,Customer_100,51,customer100@example.com,65263,Engineering,2020-04-09,False,3.137558241632229
